paper_year,paper_id,paper_title,paper_authors,paper_language,citation_id,citation_info,citation_year,citation_validity,citation_origin,citation_type,citation_scope,citation_longevity
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,1,"Steinmacher, Igor, Tayana Conte, Marco Aurélio Gerosa, and David Redmiles. ""Social barriers faced by newcomers placing their first contribution in open source software projects."" In Proceedings of the 18th ACM conference on Computer supported cooperative work & social computing, pp. 1379-1392. 2015.",2015,valid,community_nat,conference,international,5
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,2,"Santos, Carlos, George Kuk, Fabio Kon, and John Pearson. ""The attraction of contributors in free and open source software projects."" The Journal of Strategic Information Systems 22, no. 1 (2013): 26-45.",2013,valid,self,journal,international,3
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,3,"de O Melo, Claudia, Viviane Santos, Eduardo Katayama, Hugo Corbucci, Rafael Prikladnicki, Alfredo Goldman, and Fabio Kon. ""The evolution of agile software development in Brazil."" Journal of the Brazilian Computer Society 19, no. 4 (2013): 523-552.",2013,valid,self,journal,national_other,3
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,4,"Steinmacher, Igor, Igor Scaliante Wiese, Tayana Conte, Marco Aurélio Gerosa, and David Redmiles. ""The hard life of open source software project newcomers."" In Proceedings of the 7th international workshop on cooperative and human aspects of software engineering, pp. 72-78. 2014.",2014,valid,community_nat,conference,international,4
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,5,"Rudolf Ferenc, Péter Hegedűs, Tibor Gyimóthy. Software Product Quality Models. Chapter 3 of Evolving Software Systems. Edited by Tom Mens, Alexander Serebrenik, and Anthony Cleve. Vol. 190. Heidelberg: Springer, 2014.",2014,valid,community_int,other,international,4
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,6,"Mateos, Cristian, Marco Crasso, Alejandro Zunino, and Jos? Luis Ordiales Coscia. ""Detecting WSDL bad practices in code–first Web Services."" International Journal of Web and Grid Services 7, no. 4 (2011): 357-387.",2011,valid,community_int,journal,international,1
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,7,"Steinmacher, Igor, Marco Aurélio Gerosa, and David Redmiles. ""Attracting, onboarding, and retaining newcomer developers in open source software projects."" In Workshop on Global Software Development in a CSCW Perspective. 2014.",2014,valid,community_nat,conference,international,4
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,8,"Steinmacher, Igor, Ana Paula Chaves, Tayana Uchoa Conte, and Marco Aurélio Gerosa. ""Preliminary empirical identification of barriers faced by newcomers to Open Source Software projects."" In 2014 Brazilian Symposium on Software Engineering, pp. 51-60. IEEE, 2014.",2014,valid,community_nat,conference,national_sbes,4
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,9,"Chatzimparmpas, Angelos, Rafael Messias Martins, Ilir Jusufi, Kostiantyn Kucher, Fabrice Rossi, and Andreas Kerren. ""The state of the art in enhancing trust in machine learning models with the use of visualizations."" In Computer Graphics Forum, vol. 39, no. 3, pp. 713-756. 2020.",2020,valid,community_int,journal,international,10
2010,1,A Study of the Relationships between Source Code Metrics and Attractiveness in Free Software Projects,"Paulo Meirelles, Carlos Denner Santos Jr., João Miranda, Fabio Kon, Antonio Soares de Azevedo Terceiro, Christina Chavez",english,10,"Aversano, Lerina, and Maria Tortorella. ""Quality evaluation of floss projects: Application to ERP systems."" Information and Software Technology 55, no. 7 (2013): 1260-1276.",2013,valid,community_int,journal,international,3
